name,operatorAddress
BabyScope,evmosvaloper1jjukyfxfusatfjpx99cekxyvms95ergafme8l0
 Mercury,evmosvaloper1jkn3w5rm7lp0pn07qxc4d3rxdxre7h23xty2v9
RRU.ONE,evmosvaloper1fwtfcx8qqrflm2kuhn9sq6gx5cqe4g539906q5
DefierEvmos,evmosvaloper1fhfkklmv764r3u6kqkeflmddr6rlzhf4r9lae6
Stake Village,evmosvaloper1kgrgr602emu8nc2rhfvt7pzxf33jfu4fgd204r
Expanding.space,evmosvaloper19ukysy0y8vftenua47390kmg82t8explqkj4gy
 SpacePepe Labs ,evmosvaloper1vm5fvg57aeqp7xwl3umev7z0364jzvcfzlnfew
2xStake.com,evmosvaloper1ur0zjltn3qs5xzx4rn8ekr828f4tglyhu50c0w
Blockwavelabs,evmosvaloper1l840d9sse36j9cvzgq98vennrzuu5l70l5shhc
LuckyFriday.io,evmosvaloper1aaldzsaw0rv4qk2587hy3uyg25qpmgd43w38er
BouBouNode,evmosvaloper15hmhnl5h3e248ms0vz2p7ax2e422a2zezjzk38
Oldcat,evmosvaloper1qgzmsvu7n96u006kne6w0u4jqxdj52u9yjxn7w
SkySkipper,evmosvaloper1wvcavhfkww5ccyl6a3fme0tpmucz6n5hxc0xzw
AgoraNodes,evmosvaloper1d4d8cgds89t9a9uph9hr9wp7vzkdcvn9hlkh7w
Pepe Federation,evmosvaloper16p42g8ej2wxn7ss83jnd8ssk27jz3fs2n6nmav
IBCC DAO,evmosvaloper13kx2jlq8p8ntl225wxf83ef89900jzm43kcdkq
Node,evmosvaloper1wyngm5v0gua79ye0v7gxzfrgfl94stdydelvt9
Kitkat,evmosvaloper1zd9n9lcwm9nq2m35perm0z5r7afnqyu5kprdyl
Enigma,evmosvaloper12ecxrqsppsltlaktqagqw6zyapmwkrsra40dh3
Pulsar lowest fee,evmosvaloper1xu3vxzyszxmf6rh4kcv7htup25az84yl7pk673
votes4volunteers,evmosvaloper1kplw4kngrepaclp8570ampuqxuuuugkg2wsxaw
Devmos | Liquid Staking,evmosvaloper1fcej54hr34ue520ehwmty6wvyhqtna0td8kngl
Easy 2 Stake,evmosvaloper17y54dsn8hs6sv9n4z9dm77mwe79kav4eyeqher
Wave,evmosvaloper1y48avyjalxpnd3kt9pneralmp4fj8j04umtq7n
DokiaCapital,evmosvaloper1el42w8xtf33ae6mv2h9g2xug6mll4vx7xgc900
UNSTAKE_FROM_ME,evmosvaloper1az0eeqw5222en0enxz9ect3s8xy4kayznccgjh
kokos,evmosvaloper16xfg4dtls7ysxyvc4swycz2k80p3qkesx88nss
SeltonStake,evmosvaloper1ugsep4ll0a5045psg02qkld9ktr3ycxljcqzx5
Deactivated,evmosvaloper1a36r4jvcprvewxnr2qhfs0h4spec35238s2h7t
DECALI.io,evmosvaloper10ygr8es32ydjkg3zeufvxu526zn8q65acatw6r
Inactive Validator,evmosvaloper13xh50decza8q4ud97ts2epvmtcxnug0tjl532z
SkyNet | Validators,evmosvaloper1u77wfdmv0gj30z0y3wcmdja026vtwjlcsx8mrn
Ubik Capital,evmosvaloper1t5expl5j0wdvs7x9njp2x8t7a224wrlpe825u3
spellbooks.tech ,evmosvaloper1ypulj5qlwhrd2f82ewsf3cvp28rd68vungurfp
redelegate_please,evmosvaloper1ugdc7s6rpf99x0y30h3ygrr5xy0aus63dpqqhz
Let's Node!,evmosvaloper1vvjw4652wfnkn596va77ltewe02mkf7qlj7n3l
Knowable,evmosvaloper107mlv7f87ckvg6rg7mhrhlqylv35pq6kv8fme2
openbitlab-unbounding,evmosvaloper1j5nfqc0pa3575t8pz3t2huqpcauj96tyxdkuhs
Maxxroot,evmosvaloper1mj7hacrfuemmkt7mcjkgps9d7revrk6ylfus3n
redelegate,evmosvaloper1g9rcsa8sr6utp073pdtvqg5xvynv00vshrh5gu
undelegate,evmosvaloper1ffvhfte7wgc3sxy2msp423xlgj9ja4mfatusy0
artifact,evmosvaloper1lyqj60nv007tvsuvyhuu08gldlfzwq28rwxrjx
nodesUP,evmosvaloper1dkw5nng63jk7fye989zhw4jlfs6r8v233ptfwv
PLEASE REDELEGATE,evmosvaloper1qn4nakz5mj8g8drcfz5mway89fwkyf5rpj8dfg
Vanlee,evmosvaloper1can8lfdushdmp8z9zm82dmpt6gz3r2rsxrs8gw
Alt,evmosvaloper1kwjrhfpkhmrn97rz66d5j5s7wjswf5z0emyhgm
Stakepile,evmosvaloper1kxlk7uea4eewqgcynkwmgzgqetmyqtme0c9txw
Please Redelegate Elsewhere,evmosvaloper1vkrhllc9ufpymtgpxhaqfp8qcxw7cnhuk3c6l6
Do NOT delegate - inactive validator,evmosvaloper1cxv3qjqch9dntx8dzddkrq6stwf6xu07xlm8st
stake2earn,evmosvaloper1mxeqxy6v9wqgfqljw6af44ygcgrya7wv04jeur
Darvin,evmosvaloper1zqf4s6t0r4elu07krs5kquf6meme2qm54hzhsf
LiveRaveN,evmosvaloper18smfdr4zqavhs080cjtf9c0s4x9nzfwx4k02q5
Old Validator,evmosvaloper1tuup69wz94u62g9tjuphj3vuvqyh3t006h4l0n
Please Redelegate,evmosvaloper1454caan87y0828wkpwrp77zs59jhddx9pchcqy
WeStaking,evmosvaloper152644qg2h4qmqutftr9fnug0ypxw2apmjgk6rp
BartestneT,evmosvaloper1ny0dzf3wkutdfgxkk6us0xwal7gpuj4hnecw23
Saturn,evmosvaloper1w0dmlxd3rywxwcdsjgevjyc87gh32s205dyh90
Synthex,evmosvaloper1p3krr2vet7khftlfhxhp47wu4ce7at0adqnt34
staker-space,evmosvaloper102jhnxtf9fuaclxwh2r6cg84ml8yzf2unwdl77
rxpwnz  | Genesis Validator,evmosvaloper1wzx5g45x7reftxzl3ss0lgk0wh08egmyrg0uhy
STC Capital,evmosvaloper16p2mdzfj5crncwpuxp6ar5mnsq4cn6mv2gvt02
.,evmosvaloper1z8gn6dmcjv8uph2snz2qcq9jflqdkcy2qudkpz
UniverseDAO,evmosvaloper1ykfvkw7srrdm4vcwwuxuhj6ycvt7mdyadenaf5
Four Moons,evmosvaloper1he7q8w8fnsdh7r6m3h53h7p8k3648hhz2vwcuy
Royal Validator ,evmosvaloper12snku970xte58lx9xngewmmsc9kv039wg5hdsz
STAKE MARS,evmosvaloper13xc78t8vte4ta4p5jg9gcxq6w376qfd7lg70jp
Pulse Stars,evmosvaloper186u36jta2hsxgk5lg8mr6t6fn7r35knxxemkf4
CafeValidator,evmosvaloper13lnsd9psz0usm5gy6y55xp4v64kt54ltnlhmmm
Orbital Command,evmosvaloper1f02m4jkx2p9r9ps50j87e0kmjaggru07lldfwy
i1off,evmosvaloper1vs0vvzpudrattan5pqs9caa38uavj4679rt5pn
Summit Node - Pls Redelegate,evmosvaloper192gu3czvj3x6rp5fe6vl6vsaw95g86uqlsayla
Out of active set,evmosvaloper1x956sa74evkx4tma64s7hxaa3lrsrfmvqnvhrv
Sigma,evmosvaloper1gxfglzw5g8l429fewcwfrdhtfml2qtysp8t8nm
Stake-Take,evmosvaloper1adl6xd3klu689caymhn6hhakpfues5e30n5p3m
Apple juice ,evmosvaloper1txjps3yasu4vk8wglwhsmfwgglsvn80v26mhyy
OZMAGE - REDELEGATE TO ZENITH STATION,evmosvaloper1aafywn5c85v2m06wr9famd0p4wp8grt0pcsfsy
Evmosis,evmosvaloper1t2qca5lssa3vzcvacfeck0wrtq5sqq6upz2h07
Suntzu | AZclub.pro,evmosvaloper1g42a23klcwhdmmkmq43d8awe6xdtsuk6nlaevz
SweepStake,evmosvaloper1862ed57tg9vrjm34r03n0l427ufzj3z8nmqwp7
Validape x GT Capital,evmosvaloper1yqj0hqaw7694nwa2cumusrqqqhnsemdgutns7p
Illuminati,evmosvaloper13rh82yhf4zzf9n44e32e7r30ackggkvu6ps426
Merak.run,evmosvaloper1k35wzk4slyz2ly9wycjqjs5ed7mwjl2y7msgdz
BlockBlimp,evmosvaloper18ukxy5rl8w8wjkwlm029v05mz5pa6yj893427x
MCB | mcbnode,evmosvaloper1gp3smgnl92elvknutdz4jvc0yfjfhz9gs8c8yd
Kynraze,evmosvaloper1xskpkvmc8chtvgy5zv4wzf3mkrjnmke8ddgftk
Noderunners,evmosvaloper1y96y6awujpq8sz4vd2rvejxs25mhrs6fqt0lkv
AG_Node_Evmos,evmosvaloper1lfywrrzgt0dmhuhxfn0ahn6909x0pgwuxgnwcz
Please Redelegate,evmosvaloper1fw57tpm54qnapgwc3raajhvej7xsztdmyxp30a
Reality Flux | NFTSwitch.xyz,evmosvaloper1n4zajqylnmk7kmnymq4ceynzlkq68j9l6qrxmg
Do Not Delegate - [Discontinued],evmosvaloper1m9h4m6d8nw8fjewsqjtkv9zzk7jc5cxhpn73up
sff-stake,evmosvaloper10ylvjl494au5y2xymx2jq0faackekkrvtqw8g0
Please Redelegate Elsewhere,evmosvaloper187860d5xukeksge9jz3wwff7h68asdafxdxh4r
PLEASE REDELEGATE - Flipside,evmosvaloper1myawyc7skexkafq43sdj8n4wah3fdgt9lhkmeh
stake-machine.com,evmosvaloper1gk9cqangsfrd8dd92fyplmpqhft0zk0fa5ctjk
mugglepool,evmosvaloper1gcxj4cetmlehuzvf5tz7s0wagn868jdlvgfdhk
jux29m0v,evmosvaloper1xpu2a0us66uw9t0798en64dunegn30mu0lg8ld
Unity Capital,evmosvaloper1f86x5htxmxcwnz0nwyszzww9wh3hjkeyhwkjp5
moula.tech ,evmosvaloper132z5p9vl4rqa0smxw0t8xmdr3uwteqqyayn0a4
web34ever,evmosvaloper1rq0r53s3wg4854n05tg0hrw5u3jaqlw483z0pg
Natalia,evmosvaloper1xvrdg707g8kug8k9zlrpqamfukzt5qnc8uj27z
Staketab,evmosvaloper1p5650lhupzf9wllenm5nwpl4mycj9p4dceg7g6
z,evmosvaloper1y56smujn0dr4k8nm9zc844jx2v7gzxeq6cvued
 | old-DeFi100-iCosmosDAO,evmosvaloper1ratv3lvtg3vz9ravf25cqr8mp2lsdn4vuucudm
PosPool,evmosvaloper1kf44guytqa49v0d5wr6933xwap7kdkdcw3892n
Bi23 Labs,evmosvaloper1ksdaejzyj2jm3zcf92kxgvrl6z457wg2g7mlmr
PUPMØS,evmosvaloper13ajpsskazazxre46ulcqpm0cc0ad9we4kayc34
SecorD,evmosvaloper1cxpkev44hfqx2pcyx0zl80f9skfdcym02j5krm
cryptobtcbuyer,evmosvaloper1j6zuz54sum48ylpzjqt4jugjmr4lw6srudv7c4
NITAWA,evmosvaloper15zgjlh6aqrc36nuvwwnpvmgq8vjqkvsydmun5u
azstake,evmosvaloper1r4egnngxqudu7nsxa6uygcygn36j30v7w3luh6
JAILED_NODE,evmosvaloper1h5zzeup9a3qznt3vjfs6lks2duq7te43rux0xm
ALTER | pathrocknetwork,evmosvaloper1d50xeftm2drujqxec2dua7a3c7lj024u9qvz4a
Hdmiimdh,evmosvaloper1qnezlwhpjhhev6wmvul8w93f66mdetdayeg2t9
validator,evmosvaloper12p3862gzq9zdzq0e64mcc23ddyykray8la3400
Numenor.one- Please redelegate away,evmosvaloper1svnq0p23hal3llc86jp484hqac8l3as929wqf2
gryhail,evmosvaloper1gmfzlmdv55xftch7y20lyk8pruxcm42lpxzlwv
StayWithEvmos,evmosvaloper1uenrqlgva4k84en7cvp0cac50vwsdx9nrnxl4c
sff_stake,evmosvaloper162fmljm289vplvwwqeth6h3srwt6pxqvhsp2ey
Goooodnes,evmosvaloper16ahga2u3q6ueer5me26g7ws2ckjdrx4qcgdzwn
Artela,evmosvaloper1w0h3r47kx36gxcun4dlvlydhrq4gyjqq09lv7e
FirstFoundry.co,evmosvaloper14am0eysycla4ljymp8nhtul5am66wldtkkl840
StakeBenefit,evmosvaloper1res70qjq47e2acmgfc909n373y3r2my4mxzxs4
Gordian Staking,evmosvaloper1emlluf3tym8scj4aeer5470qp22mw3r9slkma8
Valli,evmosvaloper129qy4mr22azrp3vhxyw72zmth5t75fk4xx2p6k
NewNatalia,evmosvaloper1ls6387n3qnqtylkrh9pg66fq2c24ermf3uexhs
terlia,evmosvaloper1m2h0neyc2zjep2072cqhakmt5qsxwvppsuhll3
EthermintMikhail,evmosvaloper1pmrxm04m5f320hrrtutjmys74l89xn5x3n6fqv
TesseractOps,evmosvaloper1fea4zwaf04wx4m2jc9xj59zw8wsaz3qfh5ryyv
Do not delegate,evmosvaloper18gjfm7hfz8xys60fa2fesdt4a5fxpsdxvzltee
ProtofireDAO,evmosvaloper1sw4hs8x4yrwguhfst82t8lr0pv77x5hj0pryrf
NodeZ,evmosvaloper18dev6zevkjqgwdh4u2swx2t6qj7d0qn05vt9pq
Sarvodaya Validators,evmosvaloper15dj8yrvd2tvr3pa4upr5yjrt2xe47uecquw9kg
Meduza,evmosvaloper1aw4gm8z8x5wcuk72xxvxgt0ukljul4wex9v9lt
GGSYSTEMS,evmosvaloper1zmdezgf0mcs08tj24xskdgkzhnknzdfmx5nnuq
PLEASE_REDELEGATE,evmosvaloper10g7hsnzht9vxetpz274nmw79txn3pa0sgm49nu
x3m,evmosvaloper195v27mgytr20804sfpmwg2n6x57u28vwsvyjpa
md_moniker,evmosvaloper144p4mlj9ju8rencusw2835cjmu9yf2v86mc6h8
Best APR  NodesByGirls,evmosvaloper1nrfrfllqphnwr9a2qefqft74a0648e6f4mkzkf
Messi,evmosvaloper1m8dmmkxcarg0r65k5znev4utv5nzy049sk009n
Gabijke,evmosvaloper1rd3acdgvspcwr62696nnnfrge9yw5wcm8wya6f
stakingcare,evmosvaloper1r0q7zg2kxehn5aw9l3dntgtt5mh7j727h7fnuz
cyberG,evmosvaloper1zha88aa7m2uc793avhpe6qukfxnrf2jgwjje9c
NXTPOP,evmosvaloper19z2ktgjcwwrjdj226t5vhxaefjr9m7fvct7fj5
Steady Crypto,evmosvaloper1tk6r5a0y4llfmtqaskf538ts6tgr0hhnn6qgfq
bashibozuk,evmosvaloper1vy0e576hp54yr7kmmyxw0546ttx6y83pyferh6
hitr,evmosvaloper1426c3rs6fkt8wt4p8w8nl48nn7zpvd0xxvjeq9
Validators United,evmosvaloper108z94rdyxa2a3qtrpq6zl9zkzxw2555w3lfday
steak and eggs,evmosvaloper1qqzc6fnq984f4qhp09whpycgke50wcgu5s8rha
Start-Staking.cc,evmosvaloper1d8ulds7q7s4cnq3t8eetlrt0e5anxwyqym9v3s
Fesh,evmosvaloper1326mc8893qqaac394x7j42hfr00unvffglz37t
3Tekos,evmosvaloper15gev42txx898lv79d4p78mf8su274p5hj5flqu
Moneto,evmosvaloper1qzyw0ckm8apl7ktl90whuqn6yfdgjs6p4fgxs2
Lex_Prime,evmosvaloper12lg2v2whm9p0yxrqsfss269njnthcs3ljk6aev
Evmos DAO,evmosvaloper146luw8xaes2pkvhurgd8wdlun4d337z2mspw6a
GoBlue,evmosvaloper1qx28xgfqvmt9yc3twd6mlfaltqef3thyluc2xn
nysa.network,evmosvaloper1p0p304c2n9xulzlwgrd2u9nv7w35yg939k7rgu
Paranormal Brothers,evmosvaloper1z2k72z646zng4eh6cxvpwqk95a7wz96acadu98
3ventures.io,evmosvaloper1xj60gs9l3y5lv80jhruy20ztmkrnkh9uh8t6mv
Shawn,evmosvaloper18l5hwsyprz7lrht254fz5y9dl2xezvlnh6kk2z
bitszn,evmosvaloper1gkmhdy68q0uxnnnham9nnrv04uq6pndp5ewydv
Kintsugi Nodes,evmosvaloper1fah2lu8wew6avm9ve037n92dkvzjggjza5y80c
evmos-validator,evmosvaloper1t2jwegmclgal0d5g7gmkp2mz8tcqdhpx2jfj7l
Oneplus,evmosvaloper15w79j4pfzp9xzcsvt525gad0yusklwsm8nfnjv
Start-Staking.cc,evmosvaloper1plda7hy5z989fhsulmr7wtve3wxrax9yuwmg9e
StakeSeeker by BTCS,evmosvaloper1fpwl3fqr40hq9wzkmdthq7mfy8m7xp6t38ud3x
Himalayas,evmosvaloper1gprw5m3qq4lukvufssh567yljur6nlutl6fh4x
Stakeme.io,evmosvaloper1vg55n0rme285ncdjd0dwhylm0f4dgyfn5ar48g
NODEJUMPER,evmosvaloper1hm5elxdjfx4pltn00e0tde0avhpj03tynuhkk3
BAT,evmosvaloper1ewy85dtectk68z6cnpt6vmkgsqwkwttgtpejzh
Blockwave Labs,evmosvaloper1gwteu8vxjfale96smn7vgd06kwc22yt6qpjdc0
evmos01.corehounds.com,evmosvaloper14cr7emyypxrf0mrwj3g4u8ly42xr6kc5x7lgm9
Offline,evmosvaloper17m80vwsx8eveq78puqztz9xxvee4306spsa0xm
PLEASE REDELEGATE ASAP,evmosvaloper1hygh3ferns6tnu0kg03aspc8yrlm6593rkru6c
evmos-node,evmosvaloper1fw7gy6t7r4mxhfydprnd68zalpjlfl47pfx89r
stake-without-me,evmosvaloper1pj3ras3xlu4kkn9mey54yyj2vt70rrdsfwcqyp
Uplink,evmosvaloper1pmtjcxek9xsejzh3g9pngmxkv5g7zhu8l4pnv0
davich,evmosvaloper1plnlrha4r7ujjghv6dj9fghqdlg6h6ypyetw44
Evmos Testserv,evmosvaloper1ze0k4fhrmnmhax3md3dqc9g4f72l5f5rvnce9a
LL,evmosvaloper1rnp3h6xmpxx9vqhe59hrd605dfs6wltad3ser4
16psyche,evmosvaloper1y7g476f5ysk3pu24whcqxt0l6z2sdfhf5usfr3
StakeThat,evmosvaloper193smnhwr3u6f8p6rjwfp8gsqzynt0wz004nf4t
Nocturnal Labs,evmosvaloper19kppj2lh7aeujswja0f22qzcnzan3nhpymzpak
Londonist,evmosvaloper1fuxr9ycum7lm754hm9t2vqlgrt00p2jz8rzk6j
Zion,evmosvaloper12wx5xq7jx5d2vweh8qk7hkchamv20hzjv5s29e
“L10”,evmosvaloper1vffe0dhxr9hjf20e7fn9ysvu9g3y5nuuww8pek
MoveMove,evmosvaloper1vwvv3y7k797zpkfnq97z65egmpsexqsc43awvx
JMNODE,evmosvaloper10dxxahpx052d4ehy64qlkfxr8znzkwphhm6tzd
ONLY1,evmosvaloper1seaqw0e4ut9d989mptnlpwqpmkpqecpsmsg96y
OracleGen,evmosvaloper13h6mnzt6ld8vzwdc2dtn69c8dltuhvypnkc7h2
EvmosWhale222,evmosvaloper1jpgpzehzdtujedgmq3qd0cxf6vwteucd3xwpum
CLOSING REDELEGATE,evmosvaloper1ng8a20k4th6654ac0exq9fvq0pfrr3ruz2n09d
konqrr,evmosvaloper1krr5u8zl04ytngq4qg6235syumstngfzxp2w95
deactivated,evmosvaloper1e4gkckvq6gkahyxw3cgj24dyg48jmqaccsf6cx
Omnistake,evmosvaloper16phdzw429azscr0ey5gkts4py0sm9h3ah93d40
Salvage,evmosvaloper16zn0p3e7l0mk9c0edquys9yt98g6l4ydmrhank
Top Cosmos,evmosvaloper1uup2g99936ru5ec0vups3t73p3jz9mavj2z9vc
BVS,evmosvaloper1agw0ngwcnxmytm5yt9y3sd6pvs5rqq5v6cap0g
Project Stake,evmosvaloper1a7tnvw8avj320qgpgqfch7z8myf0fd7n4y5vhx
Planetarium Validator,evmosvaloper1xllzrq629yrrs8k3rwf38pracha940f2e7lz9q
Planetarium Validator,evmosvaloper13xdlszy07spnkqguavn4rkdntjszx6pkglpaf9
stake2earn,evmosvaloper1rarnkfmqc5kmrfw88edeuvd4mcj8pdmh246ddq
